relative_path,experiment,name,extension,size_bytes,sha256,detected_format,encoding,role,interpretation_confidence,role_note,line_count,record_count,timestamp_start_utc,timestamp_end_utc,delimiter,headers,schema_or_sheets,quality_notes
Exp20190124/dump_20190124_1035.sql,Exp20190124,dump_20190124_1035.sql,.sql,1537450,b048593408326e31e7e7f4c00add4d1ff7efb032479c43308a96896313822dd9,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,23075,22885,2019-01-24T09:13:21.693000Z,2019-01-24T09:35:54.584000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190124/dump_20190124_1102.sql,Exp20190124,dump_20190124_1102.sql,.sql,1254138,9704224034b13b6b6e6c2c07b7e7b7edd4a594addbd0bbc1c02468e43edb7544,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,18798,18608,2019-01-24T09:44:31.301000Z,2019-01-24T10:02:33.406000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190320/DataLogger20190320_4154_1641.xlsx,Exp20190320,DataLogger20190320_4154_1641.xlsx,.xlsx,10739,e7af9ef66d07ebd058026977ad45afc56075c5d029674c5f2d652bb953555674,Excel OOXML workbook,binary OOXML,OPC UA data logger workbook,probable,workbook semantics require confirmation,,10,2019-03-20T14:41:41.335000Z,2019-03-20T15:00:48.830000Z,OOXML,inspection limited to OOXML metadata/sample values,"[""DataLogger""]",artifact-tool unavailable; formulas counted but not recalculated or visually validated
Exp20190320/PerformanceMonitorServerElab4155memoccupied.png,Exp20190320,PerformanceMonitorServerElab4155memoccupied.png,.png,247209,1ffb8ff7dce2f69db6d93d850830fcecc60e12ffa677316bf2f8a4f081e76b1d,PNG screenshot,binary,system-performance screenshot,confirmed,"contextual evidence, not a tabular measurement source",,1,,,binary PNG,,1680x1050,contextual screenshot; values cannot be treated as machine-readable measurements
Exp20190320/PerformanceMonitorServerElab4155processor.png,Exp20190320,PerformanceMonitorServerElab4155processor.png,.png,217668,7ef42d6f13484eda1b296a9937fee696d7c94259de523d671496cc36f183cd08,PNG screenshot,binary,system-performance screenshot,confirmed,"contextual evidence, not a tabular measurement source",,1,,,binary PNG,,1680x1050,contextual screenshot; values cannot be treated as machine-readable measurements
Exp20190320/PerformanceMonitorServerNoproc.png,Exp20190320,PerformanceMonitorServerNoproc.png,.png,251352,142355a83e854e9d6bcde2f15e04ad0118285cafa55b65341057738fcd1ed845,PNG screenshot,binary,system-performance screenshot,confirmed,"contextual evidence, not a tabular measurement source",,1,,,binary PNG,,1680x1050,contextual screenshot; values cannot be treated as machine-readable measurements
Exp20190320/UI4155.png,Exp20190320,UI4155.png,.png,156130,a8dabfcdf5da1c0daf2747fb36e43d5593055b3e44cf050da2093d4a93b0c6e2,PNG screenshot,binary,Node-RED energy-dashboard screenshot,confirmed,contextual validation of drill-station power profile,,1,,,binary PNG,,1680x1050,contextual screenshot; values cannot be treated as machine-readable measurements
Exp20190320/dump_20190320_1641.sql,Exp20190320,dump_20190320_1641.sql,.sql,3758881,7af1331c55f35d2f228b2d05e97b6d6100d13fee80e138af0d14042a9a1d4f7c,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,57996,57806,2019-03-20T14:26:46.988000Z,2019-03-20T15:41:12.810000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190320/dump_20190320_1718.sql,Exp20190320,dump_20190320_1718.sql,.sql,5654978,6c0b4b17756a259bc65b95f4009e0229b3905b022d9acdf1417a6762138db5f6,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,87106,86916,2019-03-20T14:26:46.988000Z,2019-03-20T16:18:08.318000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190320/dump_20190320_1718_new.sql,Exp20190320,dump_20190320_1718_new.sql,.sql,5655009,f51e0a4a54d5e993e1e6664b3c931c466b82985a19c97bc3ade50455eb1cf4b1,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,87106,86916,2019-03-20T14:26:46.988000Z,2019-03-20T16:18:08.318000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi1,tables with zero rows and cumulative snapshots must be handled explicitly
